id,name,league_id
1800,Coventry City,14
1801,Preston North End,14
1802,Gillingham,61
1803,Walsall,61
1804,Bradford City,61
1805,Grenoble Foot 38,17
1806,Stoke City,14
1807,Sheffield Wednesday,14
1808,Brighton & Hove Albion,13
1809,Toulouse,16
1814,Laval,17
1815,Clermont,16
1816,Amiens SC,17
1819,Saint-Étienne,17
1824,Eintracht Frankfurt,19
1825,MSV Duisburg,2076
1829,VfB Lübeck,2076
1831,FC Union Berlin,19
1832,Karlsruher SC,20
1837,Sampdoria,32
1842,Cagliari,31
1843,Palermo,32
1846,Lecco,32
1847,Ascoli,32
1848,Bari 1908,32
1853,Levante,54
1854,Albacete,54
1860,Getafe,53
1861,Almería,53
1862,Lausanne Sport,189
1871,Legia Warszawa,66
1874,Ferencváros,64
1876,River Plate,353
1877,Boca Juniors,353
1884,Panathinaikos,63
1887,Vitória SC,308
1888,Gil Vicente,308
1896,Sporting Braga,308
1898,Boavista,308
1900,Moreirense,308
1903,FC Utrecht,10
1905,RKC Waalwijk,10
1906,AZ Alkmaar,10
1908,FC Twente,10
1909,Vitesse,10
1910,NEC,10
1913,SC Heerenveen,10
1914,PEC Zwolle,10
1917,Wigan Athletic,60
1919,Bristol City,14
1923,Luton Town,13
1925,Brentford,13
1926,Blackpool,60
1928,Port Vale,60
1929,Plymouth Argyle,14
1930,Northampton Town,60
1931,Stockport County,61
1932,Barnsley,60
1933,Wycombe Wanderers,60
1934,Swindon Town,61
1935,Colchester United,61
1936,Cheltenham Town,60
1937,Notts County,61
1938,Peterborough United,60
1939,Huddersfield Town,14
1940,Mansfield Town,61
1943,AFC Bournemouth,13
1944,Cambridge United,60
1947,Wrexham,61
1951,Oxford United,60
1952,Hull City,14
1958,Leyton Orient,60
1960,Swansea City,14
1961,Cardiff City,14
1962,Bristol Rovers,60
1968,Cádiz,53
1971,Excelsior,10
2013,AS Eupen,4
2014,Union Saint-Gilloise,4
2017,Hartberg,80
2056,Daegu,83
8001,RWDM,4
10020,Estoril,308
10029,TSG Hoffenheim,19
10030,Paderborn,20
10031,Portimonense,308
10032,Lugano,189
10846,Burgos,54
15001,Lyngby,1
15009,Rheindorf Altach,80
15015,Burton Albion,60
15040,WSG Tirol,80
15048,Tranmere Rovers,61
100081,Kortrijk,4
100087,OH Leuven,4
100135,APOEL,318
100325,HJK,322
100409,FC Augsburg,19
100632,Go Ahead Eagles,10
100634,Heracles Almelo,10
100646,Sparta Rotterdam,10
100757,Dinamo Bucureşti,330
100761,FCSB,330
100804,St. Johnstone,50
100805,St. Mirren,50
100831,Alcorcón,54
100851,FC Cartagena,54
100888,Leganés,54
101007,Ankaragücü,68
101014,İstanbul Başakşehir,68
101016,Adana Demirspor,68
101020,Kayserispor,68
101028,Hatayspor,68
101033,Konyaspor,68
101037,Rizespor,68
101041,Sivasspor,68
101047,Dynamo Kyiv,332
101059,Shakhtar Donetsk,332
101083,Estudiantes,353
101084,Gimnasia La Plata,353
101085,Racing Club,353
101088,Vélez Sarsfield,353
101097,Audax Italiano,335
101100,Atlético Nacional,336
101101,Junior,336
101103,Independiente Medellín,336
101104,Santa Fe,336
101105,Millonarios,336
101108,Olimpia,337
101110,Peñarol,338
101112,Vancouver Whitecaps,39
110062,Girona,53
110069,Mirandés,54
110072,Oțelul Galați,330
110075,SSC Farul,330
110078,Petrolul 52,330
110093,Independiente,353
110176,Ulm,2076
110178,Sandhausen,2076
110242,Racing Ferrol,54
110313,Accrington Stanley,61
110321,Pau,17
110329,St. Pauli,20
110373,Salernitana,31
110374,Fiorentina,31
110394,Arsenal de Sarandi,353
110395,Lanús,353
110396,Newell's Old Boys,353
110404,Banfield,353
110406,Colón,353
110456,Valenciennes,17
110468,Viktoria Plzeň,319
110482,Hallescher FC,2076
110500,Eintracht Braunschweig,20
110501,Verl,2076
110502,Darmstadt 98,19
110532,Waldhof Mannheim,2076
110556,Genoa,31
110580,Rosario Central,353
110581,Patronato,353
110588,Magdeburg,20
110636,Fortuna Düsseldorf,20
110645,Viktoria Köln,2076
110676,Borussia Dortmund II,2076
110691,Freiburg II,2076
110720,Blau-Weiß Linz,80
110724,Mechelen,4
110738,Pisa,32
110740,Reggiana,32
110741,Spezia,32
110745,Jagiellonia Białystok,66
110746,Pogoń Szczecin,66
110747,Cracovia Kraków,66
110749,Zagłębie Lubin,66
110750,UTA Arad,330
110751,Universitatea Cluj,330
110752,Botoşani,330
110765,Incheon United,83
110776,Gaziantep F.K.,68
110799,Sutton United,61
110815,CSM Politehnica Iași,330
110816,CFR Cluj,330
110827,Real Oviedo,54
110832,Granada,53
110839,Huesca,54
110890,Crawley Town,61
110902,Villarreal II,54
110908,Catanzaro,32
110953,Instituto,353
110955,Shanghai Shenhua,2012
110967,Blooming,2017
110968,Bolívar,2017
110969,The Strongest,2017
110970,Oriente Petrolero,2017
110975,Universidad Católica,335
110978,Cobresal,335
110980,Colo-Colo,335
110981,Barcelona Guayaquil,2018
110982,Deportivo Cuenca,2018
110984,Emelec,2018
110986,LDU Quito,2018
110987,Aucas,2018
110989,Caracas,2019
110990,Deportivo Táchira,2019
110993,Monagas,2019
110998,Danubio,338
111004,Tacuary,337
111008,Libertad,337
111010,Alianza Lima,2020
111011,Cienciano,2020
111013,Sporting Cristal,2020
111014,Universitario,2020
111019,Argentinos Juniors,353
111022,Belgrano,353
111042,Goiás,7
111052,Fortaleza,7
111065,Real Salt Lake,39
111083,Korona Kielce,66
111085,ŁKS Łódź,66
111086,Piast Gliwice,66
111088,Radomiak Radom,66
111092,Śląsk Wrocław,66
111117,Fatih Karagümrük,68
111132,UCD,65
111138,Minnesota United,39
111139,CF Montréal,39
111140,Portland Timbers,39
111144,Seattle Sounders,39
111235,Heidenheim,19
111239,Ingolstadt,2076
111276,Dunkerque,17
111325,Nacional,338
111326,Liverpool,338
111328,Palestino,335
111329,Guaraní,337
111332,Estudiantes Mérida,2019
111334,Melgar,2020
111339,Kasımpaşa,68
111380,Almere City,10
111393,Adelaide United,351
111395,Brisbane Roar,351
111396,Central Coast Mariners,351
111397,Melbourne Victory,351
111398,Newcastle Jets,351
111399,Perth Glory,351
111400,Sydney,351
111434,Cremonese,32
111539,Vizela,308
111629,East Bengal,2149
111651,Toronto,39
111657,Frosinone,31
111659,Rodez,17
111674,Al Shabab,350
111701,Al Ain,2013
111705,Brommapojkarna,56
111706,Godoy Cruz,353
111708,Atlético Tucumán,353
111710,Defensa y Justicia,353
111711,Huracán,353
111715,Tigre,353
111716,Unión Santa Fe,353
111722,Deportes Tolima,336
111724,Shandong Taishan,2012
111766,Wellington Phoenix,351
111768,Beijing Guoan,2012
111769,Changchun Yatai,2012
111773,Shenzhen,2012
111774,Tianjin Jinmen Tiger,2012
111779,Henan,2012
111811,Monza,31
111817,Paris,17
111822,Wolfsberger AC,80
111928,San Jose Earthquakes,39
111974,Sassuolo,31
111993,Cittadella,32
112001,América Mineiro,7
112072,Mjällby,56
112096,Al Ettifaq,350
112115,Gangwon,83
112126,Värnamo,56
112134,Philadelphia Union,39
112139,Al Nassr,350
